brand_and_product_name,package_size_weight
blue_gourmet_white_fish_fillet_vacuum_pack,200g
bobo_chicken_ham,1kg
bobo_chicken_ham,200g
bobo_chicken_ham,200g_frozen
bobo_chicken_sausage,1kg
bobo_chicken_sausage,200g
bobo_cooked_fish_noodle,180g
boncafe_colombiana,100g
boncafe_colombiana,200g
boncafe_colombiana,50g
boncafe_decaffeinated_freeze-dried_instant_coffee,100g
boncafe_decaffeinated_freeze-dried_instant_coffee,50g
boncafe_mocca_freeze-dried_instant_coffee,100_g
boncafe_mocca_freeze-dried_instant_coffee,200g
boncafe_mocca_freeze-dried_instant_coffee,50g
bonheart_365_garlic_and_fruits_cider_concentrate,500ml
bonjour_enriched_12_grain_loaf,400g
bonjour_soft_wholemeal_bread,500g
bonjour_sprouted_extra_fine_grain_bread_with_prebiotic,550g
boost_blueberry_flavoured_sport_drink,600ml
boost_lemon-lime_flavoured_sport_drink,600ml
boost_original_flavoured_sport_drink,600ml
boost_red-grape_flavoured_sport_drink,600ml
borges_classic_olive_oil,1l
borges_classic_olive_oil,2l
borges_classic_olive_oil,500ml
borges_extra_light_olive_oil,1l
borges_extra_light_olive_oil,2l
borges_extra_light_olive_oil,500ml
borges_extra_virgin_olive_oil-original,1l
borges_extra_virgin_olive_oil-original,250ml
borges_extra_virgin_olive_oil-original,2l
borges_extra_virgin_olive_oil-original,500ml
boxgreen_berry_nut_harvest,30g
boxgreen_berry_nut_harvest,80g
boxgreen_heartystrong,30g
boxgreen_heartystrong,80g
boxgreen_shiitake_mushroom_chips,20g
boxgreen_sunshine_chips,20g
brand's_bird's_nest_sugar_free,8_x_42ml
brand's_bird’s_nest_with_french_collagen,6_x_68ml
brand's_bird’s_nest_with_french_collagen,68_bottleml
brand's_bird’s_nest_with_french_collagen,68ml
brand's_bird's_nest_sugar_free,42ml
brand's_bird's_nest_sugar_free,6_x_42ml
brand's_bird's_nest_sugar_free,6_x_68ml
brand's_bird's_nest_sugar_free,68ml
brand's_bird's_nest_sugar_free,7_x_68_ml
brand's_bird's_nest_with_coconut_water,42ml
brand's_bird's_nest_with_coconut_water,6_x_42ml
brand's_bird's_nest_with_ginseng_less_sweet,6_x_68ml
brand's_bird's_nest_with_ginseng_less_sweet,68ml_bottle
brand's_bird's_nest_with_ginseng_less_sweet,68ml
brand's_bird's_nest_with_rock_sugar_less_sweet,8_x_42ml
brand's_bird's_nest_with_rock_sugar_less_sweet,42ml
brand's_bird's_nest_with_rock_sugar_less_sweet,6_x_42ml
brand's_bird's_nest_with_rock_sugar_less_sweet,6_x_68ml
brand's_bird's_nest_with_rock_sugar_less_sweet,68ml_bottle
brand's_bird's_nest_with_rock_sugar_less_sweet,7_x_68ml
brand's_bird's_nest_with_rock_sugar_less_sweet,42_bottle_ml
brand's_bird's_nest_with_rock_sugar_less_sweet,68ml
brilliance_food_product_nourish_43°n_jilin_white_millets,500g
brilliance_food_product_nourish_43°n_jilin_yellow_millets,500g
budget_enriched_wholemeal_bread,600g
